index,name,sex
272,Ivy,F
273,Melissa,F
274,Lyda,F
275,Naomi,F
276,Norma,F
277,Bell,F
278,Margie,F
279,Nona,F
280,Zella,F
281,Dovie,F
282,Elvira,F
283,Erma,F
284,Irma,F
285,Leota,F
286,William,F
287,Artie,F
288,Blanch,F
289,Charity,F
290,Lorena,F
291,Lucretia,F
292,Orpha,F
293,Alvina,F
294,Annette,F
295,Catharine,F
296,Elma,F
297,Geneva,F
298,Janet,F
299,Lee,F
300,Leora,F
301,Lona,F
302,Miriam,F
303,Zora,F
304,Linda,F
305,Octavia,F
306,Sudie,F
307,Zula,F
308,Adella,F
309,Alpha,F
310,Frieda,F
311,George,F
312,Joanna,F
313,Leonora,F
314,Priscilla,F
315,Tennie,F
316,Angeline,F
317,Docia,F
318,Ettie,F
319,Flossie,F
320,Hanna,F
321,Letha,F
322,Minta,F
323,Retta,F
324,Rosella,F
325,Adah,F
326,Berta,F
327,Elisabeth,F
328,Elise,F
329,Goldie,F
330,Leola,F
331,Margret,F
332,Adaline,F
333,Floy,F
334,Idella,F
335,Juanita,F
336,Lenna,F
337,Lucie,F
338,Missouri,F
339,Nola,F
340,Zoe,F
341,Eda,F
342,Isabell,F
343,James,F
344,Julie,F
345,Letitia,F
346,Madeline,F
347,Malissa,F
348,Mariah,F
349,Pattie,F
350,Vivian,F
351,Almeda,F
352,Aurelia,F
353,Claire,F
354,Dolly,F
355,Hazel,F
356,Jannie,F
357,Kathleen,F
358,Kathrine,F
359,Lavinia,F
360,Marietta,F
361,Melvina,F
362,Ona,F
363,Pinkie,F
364,Samantha,F
365,Susanna,F
366,Chloe,F
367,Donnie,F
368,Elsa,F
369,Gladys,F
370,Matie,F
371,Pearle,F
372,Vesta,F
373,Vinnie,F
374,Antoinette,F
375,Clementine,F
376,Edythe,F
377,Harriette,F
378,Libbie,F
379,Lilian,F
380,Lue,F
381,Lutie,F
382,Magdalena,F
383,Meda,F
384,Rita,F
385,Tena,F
386,Zelma,F
387,Adelia,F
388,Annetta,F
389,Antonia,F
390,Dona,F
391,Elizebeth,F
392,Georgianna,F
393,Gracie,F
394,Iona,F
395,Lessie,F
396,Leta,F
397,Liza,F
398,Mertie,F
399,Molly,F
400,Neva,F
401,Oma,F
402,Alida,F
403,Alva,F
404,Cecile,F
405,Cleo,F
406,Donna,F
407,Ellie,F
408,Ernestine,F
409,Evie,F
410,Frankie,F
411,Helene,F
412,Minna,F
413,Myrta,F
414,Prudence,F
415,Queen,F
416,Rilla,F
417,Savannah,F
418,Tessie,F
419,Tina,F
420,Agatha,F
421,America,F
422,Anita,F
423,Arminta,F
424,Dorothea,F
425,Ira,F
426,Luvenia,F
427,Marjorie,F
428,Maybelle,F
429,Mellie,F
430,Nan,F
431,Pearlie,F
432,Sidney,F
433,Velma,F
434,Clare,F
435,Constance,F
436,Dixie,F
437,Ila,F
438,Iola,F
439,Jimmie,F
440,Louvenia,F
441,Lucia,F
442,Ludie,F
443,Luna,F
444,Metta,F
445,Patsy,F
446,Phebe,F
447,Sophronia,F
448,Adda,F
449,Avis,F
450,Betsy,F
451,Bonnie,F
452,Cecil,F
453,Cordie,F
454,Emmaline,F
455,Ethelyn,F
456,Hortense,F
457,June,F
458,Louie,F
459,Lovie,F
460,Marcella,F
461,Melinda,F
462,Mona,F
463,Odessa,F
464,Veronica,F
465,Aimee,F
466,Annabel,F
467,Ava,F
468,Bella,F
469,Carolina,F
470,Cathrine,F
471,Christena,F
472,Clyde,F
473,Dena,F
474,Dolores,F
475,Eleanore,F
476,Elmira,F
477,Fay,F
478,Frank,F
479,Jenny,F
480,Kizzie,F
481,Lonnie,F
482,Loula,F
483,Magdalene,F
484,Mettie,F
485,Mintie,F
486,Peggy,F
487,Reba,F
488,Serena,F
489,Vida,F
490,Zada,F
491,Abigail,F
492,Celestine,F
493,Celina,F
494,Claudie,F
495,Clemmie,F
496,Connie,F
497,Daisie,F
498,Deborah,F
499,Dessa,F
500,Easter,F
501,Eddie,F
502,Emelia,F
503,Emmie,F
504,Imogene,F
505,India,F
506,Jeanne,F
507,Joan,F
508,Lenore,F
509,Liddie,F
510,Lotta,F
511,Mame,F
512,Nevada,F
513,Rachael,F
514,Sina,F
515,Willa,F
516,Aline,F
517,Beryl,F
518,Charles,F
519,Daisey,F
520,Dorcas,F
521,Edmonia,F
522,Effa,F
523,Eldora,F
524,Eloise,F
525,Emmer,F
526,Era,F
527,Gena,F
528,Henry,F
529,Iris,F
530,Izora,F
531,Lennie,F
532,Lissie,F
533,Mallie,F
534,Malvina,F
535,Mathilde,F
536,Mazie,F
537,Queenie,F
538,Robert,F
539,Rosina,F
540,Salome,F
541,Theodora,F
542,Therese,F
543,Vena,F
544,Wanda,F
545,Wilda,F
546,Altha,F
547,Anastasia,F
548,Besse,F
549,Bird,F
550,Birtie,F
551,Clarissa,F
552,Claude,F
553,Delilah,F
554,Diana,F
555,Emelie,F
556,Erna,F
557,Fern,F
558,Florida,F
559,Frona,F
560,Hilma,F
561,Joseph,F
562,Juliet,F
563,Leonie,F
564,Lugenia,F
565,Mammie,F
566,Manda,F
567,Manerva,F
568,Manie,F
569,Nella,F
570,Paulina,F
571,Philomena,F
572,Rae,F
573,Selina,F
574,Sena,F
575,Theodosia,F
576,Tommie,F
577,Una,F
578,Vernie,F
579,Adela,F
580,Althea,F
581,Amalia,F
582,Amber,F
583,Angelina,F
584,Annabelle,F
585,Anner,F
586,Arie,F
587,Clarice,F
588,Corda,F
589,Corrie,F
590,Dell,F
591,Dellar,F
592,Donie,F
593,Doris,F
594,Elda,F
595,Elinor,F
596,Emeline,F
597,Emilia,F
598,Esta,F
599,Estell,F
600,Etha,F
601,Fred,F
602,Hope,F
603,Indiana,F
604,Ione,F
605,Jettie,F
606,Johnnie,F
607,Josiephine,F
608,Kitty,F
609,Lavina,F
610,Leda,F
611,Letta,F
612,Mahala,F
613,Marcia,F
614,Margarette,F
615,Maudie,F
616,Maye,F
617,Norah,F
618,Oda,F
619,Patty,F
620,Paula,F
621,Permelia,F
622,Rosalia,F
623,Roxanna,F
624,Sula,F
625,Vada,F
626,Winnifred,F
627,Adline,F
628,Almira,F
629,Alvena,F
630,Arizona,F
631,Becky,F
632,Bennie,F
633,Bernadette,F
634,Camille,F
635,Cordia,F
636,Corine,F
637,Dicie,F
638,Dove,F
639,Drusilla,F
640,Elena,F
641,Elenora,F
642,Elmina,F
643,Ethyl,F
644,Evalyn,F
645,Evelina,F
646,Faye,F
647,Huldah,F
648,Idell,F
649,Inga,F
650,Irena,F
651,Jewell,F
652,Kattie,F
653,Lavenia,F
654,Leslie,F
655,Lovina,F
656,Lulie,F
657,Magnolia,F
658,Margeret,F
659,Margery,F
660,Media,F
661,Millicent,F
662,Nena,F
663,Ocie,F
664,Orilla,F
665,Osie,F
666,Pansy,F
667,Ray,F
668,Rosia,F
669,Rowena,F
670,Shirley,F
671,Tabitha,F
672,Thomas,F
673,Verdie,F
674,Walter,F
675,Zetta,F
676,Zoa,F
677,Zona,F
678,Albertina,F
679,Albina,F
680,Alyce,F
681,Amie,F
682,Angela,F
683,Annis,F
684,Carol,F
685,Carra,F
686,Clarence,F
687,Clarinda,F
688,Delphia,F
689,Dillie,F
690,Doshie,F
691,Drucilla,F
692,Etna,F
693,Eugenie,F
694,Eulalia,F
695,Eve,F
696,Felicia,F
697,Florance,F
698,Fronie,F
699,Geraldine,F
700,Gina,F
701,Glenna,F
702,Grayce,F
703,Hedwig,F
704,Jessica,F
705,Jossie,F
706,Katheryn,F
707,Katy,F
708,Lea,F
709,Leanna,F
710,Leitha,F
711,Leone,F
712,Lidie,F
713,Loma,F
714,Lular,F
715,Magdalen,F
716,Maymie,F
717,Minervia,F
718,Muriel,F
719,Neppie,F
720,Olie,F
721,Onie,F
722,Osa,F
723,Otelia,F
724,Paralee,F
725,Patience,F
726,Rella,F
727,Rillie,F
728,Rosanna,F
729,Theo,F
730,Tilda,F
731,Tishie,F
732,Tressa,F
733,Viva,F
734,Yetta,F
735,Zena,F
736,Zola,F
737,Abby,F
738,Aileen,F
739,Alba,F
740,Alda,F
741,Alla,F
742,Alverta,F
743,Ara,F
744,Ardelia,F
745,Ardella,F
746,Arrie,F
747,Arvilla,F
748,Augustine,F
749,Aurora,F
750,Bama,F
751,Bena,F
752,Byrd,F
753,Calla,F
754,Camilla,F
755,Carey,F
756,Carlotta,F
757,Celestia,F
758,Cherry,F
759,Cinda,F
760,Classie,F
761,Claudine,F
762,Clemie,F
763,Clifford,F
764,Clyda,F
765,Creola,F
766,Debbie,F
767,Dee,F
768,Dinah,F
769,Doshia,F
770,Ednah,F
771,Edyth,F
772,Eleanora,F
773,Electa,F
774,Eola,F
775,Erie,F
776,Eudora,F
777,Euphemia,F
778,Evalena,F
779,Evaline,F
780,Faith,F
781,Fidelia,F
782,Freddie,F
783,Golda,F
784,Harry,F
785,Helma,F
786,Hermine,F
787,Hessie,F
788,Ivah,F
789,Janette,F
790,Jennette,F
791,Joella,F
792,Kathryne,F
793,Lacy,F
794,Lanie,F
795,Lauretta,F
796,Leana,F
797,Leatha,F
798,Leo,F
799,Liller,F
800,Lillis,F
801,Louetta,F
802,Madie,F
803,Mai,F
804,Martina,F
805,Maryann,F
806,Melva,F
807,Mena,F
808,Mercedes,F
809,Merle,F
810,Mima,F
811,Minda,F
812,Monica,F
813,Nealie,F
814,Netta,F
815,Nolia,F
816,Nonie,F
817,Odelia,F
818,Ottilie,F
819,Phyllis,F
820,Robbie,F
821,Sabina,F
822,Sada,F
823,Sammie,F
824,Suzanne,F
825,Sybilla,F
826,Thea,F
827,Tressie,F
828,Vallie,F
829,Venie,F
830,Viney,F
831,Wilhelmine,F
832,Winona,F
833,Zelda,F
834,Zilpha,F
835,Adelle,F
836,Adina,F
837,Adrienne,F
838,Albertine,F
839,Alys,F
840,Ana,F
841,Araminta,F
842,Arthur,F
843,Birtha,F
844,Bulah,F
845,Caddie,F
846,Celie,F
847,Charlotta,F
848,Clair,F
849,Concepcion,F
850,Cordella,F
851,Corrine,F
852,Delila,F
853,Delphine,F
854,Dosha,F
855,Edgar,F
856,Elaine,F
857,Elisa,F
858,Ellar,F
859,Elmire,F
860,Elvina,F
861,Ena,F
862,Estie,F
863,Etter,F
864,Fronnie,F
865,Genie,F
866,Georgina,F
867,Glenn,F
868,Gracia,F
869,Guadalupe,F
870,Gwendolyn,F
871,Hassie,F
872,Honora,F
873,Icy,F
874,Isa,F
875,Isadora,F
876,Jesse,F
877,Jewel,F
878,Joe,F
879,Johannah,F
880,Juana,F
881,Judith,F
882,Judy,F
883,Junie,F
884,Lavonia,F
885,Lella,F
886,Lemma,F
887,Letty,F
888,Linna,F
889,Littie,F
890,Lollie,F
891,Lorene,F
892,Louis,F
893,Love,F
894,Lovisa,F
895,Lucina,F
896,Lynn,F
897,Madora,F
898,Mahalia,F
899,Manervia,F
900,Manuela,F
901,Margarett,F
902,Margaretta,F
903,Margarita,F
904,Marilla,F
905,Mignon,F
906,Mozella,F
907,Natalie,F
908,Nelia,F
909,Nolie,F
910,Omie,F
911,Opal,F
912,Ossie,F
913,Ottie,F
914,Ottilia,F
915,Parthenia,F
916,Penelope,F
917,Pinkey,F
918,Pollie,F
919,Rennie,F
920,Reta,F
921,Roena,F
922,Rosalee,F
923,Roseanna,F
924,Ruthie,F
925,Sabra,F
926,Sannie,F
927,Selena,F
928,Sibyl,F
929,Tella,F
930,Tempie,F
931,Tennessee,F
932,Teressa,F
933,Texas,F
934,Theda,F
935,Thelma,F
936,Thursa,F
937,Ula,F
938,Vannie,F
939,Verona,F
940,Vertie,F
941,Wilma,F
952,Edward,M
957,Albert,M
958,Samuel,M
959,David,M
962,Charlie,M
964,Richard,M
965,Andrew,M
966,Daniel,M
967,Ernest,M
968,Will,M
970,Oscar,M
971,Lewis,M
972,Peter,M
973,Benjamin,M
974,Frederick,M
976,Alfred,M
977,Sam,M
978,Roy,M
979,Herbert,M
980,Jacob,M
981,Tom,M
982,Elmer,M
983,Carl,M
985,Howard,M
986,Martin,M
987,Michael,M
988,Bert,M
989,Herman,M
990,Jim,M
992,Harvey,M
993,Earl,M
994,Eugene,M
995,Ralph,M
996,Ed,M
998,Edwin,M
999,Ben,M
1000,Charley,M
1001,Paul,M
1003,Isaac,M
1004,Otto,M
1005,Luther,M
1006,Lawrence,M
1008,Patrick,M
1009,Guy,M
1010,Oliver,M
1011,Theodore,M
1012,Hugh,M
1014,Alexander,M
1015,August,M
1016,Floyd,M
1017,Homer,M
1018,Jack,M
1019,Leonard,M
1020,Horace,M
1022,Philip,M
1023,Allen,M
1024,Archie,M
1025,Stephen,M
1026,Chester,M
1027,Willis,M
1028,Raymond,M
1029,Rufus,M
1030,Warren,M
1032,Milton,M
1033,Alex,M
1035,Julius,M
1038,Bernard,M
1039,Dan,M
1040,Jerry,M
1041,Calvin,M
1042,Perry,M
1043,Dave,M
1044,Anthony,M
1046,Amos,M
1047,Dennis,M
1049,Leroy,M
1050,Wesley,M
1051,Alonzo,M
1052,Garfield,M
1053,Franklin,M
1054,Emil,M
1055,Leon,M
1056,Nathan,M
1057,Harold,M
1058,Matthew,M
1059,Levi,M
1060,Moses,M
1061,Everett,M
1062,Lester,M
1063,Winfield,M
1064,Adam,M
1065,Lloyd,M
1066,Mack,M
1067,Fredrick,M
1068,Jay,M
1069,Jess,M
1070,Melvin,M
1071,Noah,M
1072,Aaron,M
1073,Alvin,M
1074,Norman,M
1075,Gilbert,M
1076,Elijah,M
1077,Victor,M
1078,Gus,M
1079,Nelson,M
1080,Jasper,M
1081,Silas,M
1082,Jake,M
1083,Christopher,M
1084,Mike,M
1085,Percy,M
1086,Adolph,M
1087,Maurice,M
1088,Cornelius,M
1089,Felix,M
1090,Reuben,M
1091,Wallace,M
1092,Claud,M
1093,Roscoe,M
1094,Sylvester,M
1095,Earnest,M
1096,Hiram,M
1097,Otis,M
1098,Simon,M
1099,Willard,M
1100,Irvin,M
1101,Mark,M
1102,Jose,M
1103,Wilbur,M
1104,Abraham,M
1105,Virgil,M
1106,Clinton,M
1107,Elbert,M
1109,Marshall,M
1110,Owen,M
1111,Wiley,M
1112,Anton,M
1113,Morris,M
1114,Manuel,M
1115,Phillip,M
1116,Augustus,M
1117,Emmett,M
1118,Eli,M
1119,Nicholas,M
1120,Wilson,M
1122,Harley,M
1123,Newton,M
1124,Timothy,M
1125,Marvin,M
1126,Ross,M
1127,Curtis,M
1128,Edmund,M
1129,Jeff,M
1130,Elias,M
1131,Harrison,M
1132,Stanley,M
1133,Columbus,M
1134,Lon,M
1138,Russell,M
1139,Solomon,M
1140,Arch,M
1141,Asa,M
1142,Clayton,M
1143,Enoch,M
1144,Irving,M
1145,Mathew,M
1146,Nathaniel,M
1147,Scott,M
1148,Hubert,M
1149,Lemuel,M
1150,Andy,M
1151,Ellis,M
1152,Emanuel,M
1153,Joshua,M
1154,Millard,M
1155,Vernon,M
1156,Wade,M
1157,Cyrus,M
1158,Miles,M
1159,Rudolph,M
1160,Sherman,M
1161,Austin,M
1162,Bill,M
1163,Chas,M
1165,Monroe,M
1166,Byron,M
1167,Edd,M
1168,Emery,M
1169,Grant,M
1170,Jerome,M
1171,Max,M
1172,Mose,M
1173,Steve,M
1174,Gordon,M
1175,Abe,M
1176,Pete,M
1177,Chris,M
1178,Clark,M
1179,Gustave,M
1180,Orville,M
1181,Lorenzo,M
1182,Bruce,M
1183,Marcus,M
1184,Preston,M
1185,Bob,M
1186,Dock,M
1187,Donald,M
1188,Jackson,M
1190,Barney,M
1191,Delbert,M
1192,Edmond,M
1193,Anderson,M
1194,Christian,M
1196,Jefferson,M
1197,Luke,M
1198,Neal,M
1199,Burt,M
1200,Ike,M
1201,Myron,M
1202,Tony,M
1203,Conrad,M
1204,Joel,M
1205,Matt,M
1206,Riley,M
1207,Vincent,M
1208,Emory,M
1209,Isaiah,M
1210,Nick,M
1211,Ezra,M
1212,Green,M
1213,Juan,M
1214,Clifton,M
1215,Lucius,M
1216,Porter,M
1217,Arnold,M
1218,Bud,M
1219,Jeremiah,M
1220,Taylor,M
1221,Forrest,M
1222,Roland,M
1223,Spencer,M
1224,Burton,M
1225,Don,M
1226,Emmet,M
1227,Gustav,M
1229,Morgan,M
1230,Ned,M
1231,Van,M
1232,Ambrose,M
1233,Chauncey,M
1234,Elisha,M
1235,Ferdinand,M
1236,General,M
1237,Julian,M
1238,Kenneth,M
1239,Mitchell,M
1241,Josh,M
1242,Judson,M
1243,Lyman,M
1244,Napoleon,M
1245,Pedro,M
1246,Berry,M
1247,Dewitt,M
1248,Ervin,M
1249,Forest,M
1251,Pink,M
1252,Ruben,M
1253,Sanford,M
1254,Ward,M
1255,Douglas,M
1256,Ole,M
1257,Omer,M
1258,Ulysses,M
1259,Walker,M
1260,Wilbert,M
1261,Adelbert,M
1262,Benjiman,M
1263,Ivan,M
1264,Jonas,M
1265,Major,M
1266,Abner,M
1267,Archibald,M
1268,Caleb,M
1269,Clint,M
1270,Dudley,M
1271,Granville,M
1272,King,M
1274,Merton,M
1275,Antonio,M
1277,Carroll,M
1278,Freeman,M
1279,Josiah,M
1280,Milo,M
1281,Royal,M
1282,Dick,M
1283,Earle,M
1284,Elza,M
1285,Emerson,M
1286,Fletcher,M
1287,Judge,M
1288,Laurence,M
1289,Neil,M
1290,Roger,M
1291,Seth,M
1292,Glen,M
1293,Hugo,M
1296,Washington,M
1297,Elwood,M
1298,Gust,M
1299,Harmon,M
1300,Jordan,M
1301,Simeon,M
1302,Wayne,M
1303,Wilber,M
1304,Clem,M
1305,Evan,M
1306,Frederic,M
1307,Irwin,M
1308,Junius,M
1309,Lafayette,M
1310,Loren,M
1311,Madison,M
1312,Mason,M
1313,Orval,M
1314,Abram,M
1315,Aubrey,M
1316,Elliott,M
1317,Hans,M
1318,Karl,M
1319,Minor,M
1320,Wash,M
1321,Wilfred,M
1322,Allan,M
1323,Alphonse,M
1324,Dallas,M
1326,Isiah,M
1327,Jason,M
1328,Johnny,M
1329,Lawson,M
1330,Lew,M
1331,Micheal,M
1332,Orin,M
1333,Addison,M
1334,Cal,M
1335,Erastus,M
1336,Francisco,M
1337,Hardy,M
1338,Lucien,M
1339,Randolph,M
1340,Stewart,M
1341,Vern,M
1342,Wilmer,M
1343,Zack,M
1344,Adrian,M
1345,Alvah,M
1346,Bertram,M
1347,Clay,M
1348,Ephraim,M
1349,Fritz,M
1350,Giles,M
1351,Grover,M
1352,Harris,M
1353,Isom,M
1354,Jesus,M
1355,Johnie,M
1356,Jonathan,M
1357,Lucian,M
1358,Malcolm,M
1359,Merritt,M
1360,Otho,M
1361,Perley,M
1362,Rolla,M
1363,Sandy,M
1364,Tomas,M
1365,Wilford,M
1366,Adolphus,M
1367,Angus,M
1368,Arther,M
1369,Carlos,M
1370,Cary,M
1371,Cassius,M
1372,Davis,M
1373,Hamilton,M
1374,Harve,M
1375,Israel,M
1376,Leander,M
1377,Melville,M
1379,Murray,M
1380,Pleasant,M
1381,Sterling,M
1382,Steven,M
1383,Axel,M
1384,Boyd,M
1385,Bryant,M
1386,Clement,M
1387,Erwin,M
1388,Ezekiel,M
1389,Foster,M
1391,Geo,M
1392,Houston,M
1393,Issac,M
1394,Jules,M
1395,Larkin,M
1396,Mat,M
1397,Morton,M
1398,Orlando,M
1399,Pierce,M
1400,Prince,M
1401,Rollie,M
1402,Rollin,M
1403,Sim,M
1404,Stuart,M
1405,Wilburn,M
1406,Bennett,M
1407,Casper,M
1408,Christ,M
1410,Egbert,M
1411,Elmo,M
1413,Gabriel,M
1414,Hector,M
1415,Horatio,M
1416,Lige,M
1417,Saul,M
1418,Smith,M
1419,Squire,M
1420,Tobe,M
1422,Wyatt,M
1423,Alford,M
1425,Alton,M
1426,Andres,M
1427,Burl,M
1428,Cicero,M
1429,Dean,M
1430,Dorsey,M
1431,Enos,M
1432,Howell,M
1434,Loyd,M
1435,Mahlon,M
1436,Nat,M
1437,Omar,M
1438,Oran,M
1439,Parker,M
1440,Raleigh,M
1441,Reginald,M
1442,Rubin,M
1443,Seymour,M
1444,Wm,M
1445,Young,M
1446,Benjamine,M
1448,Carlton,M
1449,Eldridge,M
1450,Elzie,M
1451,Garrett,M
1452,Isham,M
1453,Johnson,M
1454,Larry,M
1455,Logan,M
1456,Merrill,M
1457,Mont,M
1458,Oren,M
1459,Pierre,M
1460,Rex,M
1461,Rodney,M
1462,Ted,M
1463,Webster,M
1464,West,M
1465,Wheeler,M
1466,Willam,M
1467,Al,M
1468,Aloysius,M
1469,Alvie,M
1471,Art,M
1473,Bailey,M
1474,Benjaman,M
1475,Beverly,M
1476,Bishop,M
1478,Cloyd,M
1479,Coleman,M
1480,Dana,M
1481,Duncan,M
1482,Dwight,M
1483,Emile,M
1484,Evert,M
1485,Henderson,M
1486,Hunter,M
1488,Lem,M
1489,Luis,M
1490,Mathias,M
1491,Maynard,M
1492,Miguel,M
1493,Mortimer,M
1494,Nels,M
1495,Norris,M
1496,Pat,M
1497,Phil,M
1498,Rush,M
1499,Santiago,M
1500,Sol,M
1501,Sydney,M
1502,Thaddeus,M
1503,Thornton,M
1504,Tim,M
1505,Travis,M
1506,Truman,M
1507,Watson,M
1508,Webb,M
1509,Wellington,M
1510,Winfred,M
1511,Wylie,M
1512,Alec,M
1513,Basil,M
1514,Baxter,M
1515,Bertrand,M
1516,Buford,M
1517,Burr,M
1518,Cleveland,M
1519,Colonel,M
1520,Dempsey,M
1521,Early,M
1522,Ellsworth,M
1523,Fate,M
1524,Finley,M
1525,Gabe,M
1526,Garland,M
1527,Gerald,M
1528,Herschel,M
1529,Hezekiah,M
1530,Justus,M
1531,Lindsey,M
1532,Marcellus,M
1533,Olaf,M
1534,Olin,M
1535,Pablo,M
1536,Rolland,M
1537,Turner,M
1538,Verne,M
1539,Volney,M
1540,Williams,M
1541,Almon,M
1542,Alois,M
1543,Alonza,M
1544,Anson,M
1545,Authur,M
1546,Benton,M
1547,Billie,M
1548,Cornelious,M
1549,Darius,M
1550,Denis,M
1551,Dillard,M
1552,Doctor,M
1553,Elvin,M
1555,Eric,M
1556,Evans,M
1557,Gideon,M
1558,Haywood,M
1559,Hilliard,M
1560,Hosea,M
1561,Lincoln,M
1562,Lonzo,M
1563,Lucious,M
1564,Lum,M
1565,Malachi,M
1566,Newt,M
1567,Noel,M
1568,Orie,M
1569,Palmer,M
1570,Pinkney,M
1572,Sumner,M
1573,Terry,M
1574,Urban,M
1575,Uriah,M
1576,Valentine,M
1577,Waldo,M
1578,Warner,M
1579,Wong,M
1580,Zeb,M
1581,Abel,M
1582,Alden,M
1583,Archer,M
1584,Avery,M
1585,Carson,M
1586,Cullen,M
1587,Doc,M
1588,Eben,M
1589,Elige,M
1591,Elmore,M
1592,Ernst,M
1593,Finis,M
1595,Godfrey,M
1596,Guss,M
1597,Hamp,M
1598,Hermann,M
1599,Isadore,M
1600,Isreal,M
1601,Jones,M
1604,Lafe,M
1605,Leland,M
1606,Llewellyn,M
1607,Ludwig,M
1608,Manford,M
1609,Maxwell,M
1611,Obie,M
1612,Octave,M
